Ефимов;Сергей;Геннадьевич;Москва;Казань;Оплачен;СВ;80;14;54;13.06.2025 15:14:41;14.06.2025 1:14:41;1000
Ефимов;Сергей;Геннадьевич;Москва;Казань;Оплачен;СВ;93;10;6;13.06.2025 15:14:41;14.06.2025 13:14:41;2000
Ефимов;Сергей;Геннадьевич;Москва;Казань;Оплачен;СВ;73;3;43;13.06.2025 15:14:41;14.06.2025 7:14:41;3000
Ефимов;Сергей;Геннадьевич;Москва;Казань;Оплачен;СВ;65;9;30;13.06.2025 15:14:41;14.06.2025 2:14:41;4000
Ефимов;Сергей;Геннадьевич;Москва;Казань;Оплачен;СВ;50;15;83;13.06.2025 15:14:41;14.06.2025 8:14:41;5000
Ефимов;Сергей;Геннадьевич;Москва;Казань;Оплачен;СВ;75;7;81;13.06.2025 15:14:41;13.06.2025 19:14:41;6000
Ефимов;Сергей;Геннадьевич;Москва;Казань;Оплачен;СВ;61;11;38;13.06.2025 15:14:41;14.06.2025 10:14:41;7000
Ефимов;Сергей;Геннадьевич;Москва;Казань;Оплачен;СВ;36;9;93;13.06.2025 15:14:41;13.06.2025 23:14:41;8000
Ефимов;Сергей;Геннадьевич;Москва;Казань;Оплачен;СВ;63;5;54;13.06.2025 15:14:41;14.06.2025 1:14:41;9000
Ефимов;Сергей;Геннадьевич;Москва;Казань;Оплачен;СВ;53;2;98;13.06.2025 15:14:41;14.06.2025 7:14:41;10000
